path,youtube_id,channel_slug,channel_url,host,guest,threads,class,dedup_action,target_prefix,needs_rename,notes
source-archive/statecraft/2025-08-10/source-dialogue-works-trumps-plan-to-threaten-putin-with-sanctions-submarines-col-larry-wilkerson-scott-ritter-2025-08-10.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Col. Larry Wilkerson; Scott Ritter,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-08-12/source-dialogue-works-col-larry-wilkerson-trumps-power-play-ignites-chaos-and-its-only-the-start-2025-08-12.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-15/source-dialogue-works-amb-chas-freeman-and-trita-parsi-the-next-israel-iran-war-is-coming-2025-08-15.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,,freeman,dw-solo,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-15/source-dialogue-works-larry-c-johnson-col-larry-wilkerson-trump-and-putin-in-alaska-deals-drama-and-dangerous-moves-2025-08-15.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Larry C. Johnson; Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-21/source-dialogue-works-martin-armstrong-the-cold-reality-peace-with-russia-will-never-happen-2025-08-21.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Martin Armstrong,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-22/source-dialogue-works-amb-chas-freeman-u-s-on-the-brink-of-disaster-2025-08-22.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chas Freeman,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-26/source-dialogue-works-col-larry-wilkerson-warning-signs-everywhere-us-on-the-verge-of-disaster-2025-08-26.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-29/source-dialogue-works-amb-chas-freeman-america-s-fatal-mistake-a-disaster-in-the-making-2025-08-29.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-09-05/source-dialogue-works-amb-chas-freeman-the-end-of-western-dominance-is-here-2025-09-05.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chas Freeman,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-09-05/source-dialogue-works-larry-c-johnson-col-larry-wilkerson-china-india-russia-unite-trump-left-out-and-fuming-2025-09-05.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Larry C. Johnson; Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-09-06/source-dialogue-works-andrei-martyanov-scott-ritter-the-us-is-committing-geopolitical-suicide-2025-09-06.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Andrei Martyanov & Scott Ritter,alkhorshid,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-09-12/source-dialogue-works-alastair-crooke-alastair-crooke-middle-east-on-the-brink-russia-rains-down-drones-missiles-2025-09-12.md,,,,Nima Alkhorshid,Alastair Crooke,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
